	pert_id	pert_iname	inchi_key_prefix	inchi_key	canonical_smiles	pubchem_cid
0	BRD-A00100033	nifurtimox	ARFHIAQFJWUCFH	ARFHIAQFJWUCFH-UHFFFAOYSA-N	CC1CS(=O)(=O)CCN1N=Cc1ccc(o1)[N+]([O-])=O	6842999
1	BRD-A00150179	5-hydroxytryptophan	QSHLMQDRPXXYEE	QSHLMQDRPXXYEE-UHFFFAOYSA-N	NC(Cc1c[nH]c2cccc(O)c12)C(O)=O	589768
2	BRD-A00267231	hemado	KOCIMZNSNPOGOP	KOCIMZNSNPOGOP-UHFFFAOYSA-N	CCCCC#Cc1nc(NC)c2ncn(C3OC(CO)C(O)C3O)c2n1	4043357
3	BRD-A00420644	SA-3676	ASCBUEVCEVGOFP	ASCBUEVCEVGOFP-UHFFFAOYSA-N	CCN1C2C(C(=NC2Nc3ccccc13)OC)c4ccccc4	2853908
4	BRD-A00474148	BRD-A00474148	RCGAUPRLRFZAMS	RCGAUPRLRFZAMS-UHFFFAOYSA-N	Oc1ccc(cc1)N1CCN(CC1)[S+]([O-])(=O)c1ccc2NC(=O)Cc2c1	44825297
5	BRD-A00520476	AF-DX-116	UBRKDAVQCKZSPO	UBRKDAVQCKZSPO-UHFFFAOYSA-N	CCN(CC)CC1CCCCN1CC(=O)N1c2ccccc2C(=O)Nc2cccnc12	107867
6	BRD-A00546892	biperiden	YSXKPIUOCJLQIE	YSXKPIUOCJLQIE-UHFFFAOYSA-N	OC(CCN1CCCCC1)(C1CC2CC1C=C2)c1ccccc1	-666
7	BRD-A00626522	BRD-A00626522	JESWDHXLYTYZAC	JESWDHXLYTYZAC-UHFFFAOYSA-N	COc1ccc(cc1)C(CC(=O)N2CCCC(C)C2)c3c(O)cc(OC)cc3OC	16746329
8	BRD-A00758722	noretynodrel	ICTXHFFSOAJUMG	ICTXHFFSOAJUMG-OQPPHWFISA-N	C[C@]12CCC3C(CCC4=C3CCC(=O)C4)C1CC[C@@]2(O)C#C	5702095
9	BRD-A00763758	BRD-A00763758	MASIPYZIHWNUPA	MASIPYZIHWNUPA-UHFFFAOYSA-N	COc1cc(ccc1O)C(O)C(C)N	43209100
10	BRD-A00827783	dyphylline	KSCFJBIXMNOVSH	KSCFJBIXMNOVSH-UHFFFAOYSA-N	Cn1c2ncn(CC(O)CO)c2c(=O)n(C)c1=O	3182
