,pr_gene_symbol,coefficient
5720,PSME1,0.025648679873966074
466,ATF1,-0.010949511603718683
6009,RHEB,-0.00044898477247438706
2309,FOXO3,-0.005829070900948579
387,RHOA,0.011504845972605107
3553,IL1B,-0.029078725148372727
427,ASAH1,-0.01815798794479133
5898,RALA,0.008623836659746519
23365,ARHGEF12,-0.009261177797729338
6657,SOX2,-0.013564057098743627
5054,SERPINE1,0.016534016550517536
3108,HLA-DMA,-0.005413805634485468
1950,EGF,-0.0009366772984792645
351,APP,-0.006630282172536483
4846,NOS3,0.0010917094852815293
1452,CSNK1A1,-0.020645882887245986
4776,NFATC4,-0.01306248283922678
6908,TBP,0.005684713133362139
672,BRCA1,0.008942993814472614
5710,PSMD4,-0.00222505758416477
2115,ETV1,-0.004764634185804044
7015,TERT,-0.004684948695703519
8726,EED,-0.021027948388390224
2185,PTK2B,0.005683422737129564
3315,HSPB1,0.023751357950696217
5289,PIK3C3,0.010378823223520987
868,CBLB,-0.028365148633337774
1677,DFFB,-0.000729566178336097
7043,TGFB3,-0.004027048216022843
5613,PRKX,0.008129231682671057
595,CCND1,0.004481146225421447
4793,NFKBIB,-0.011262355816615085
2736,GLI2,-0.007265742220702707
5290,PIK3CA,-0.002965493972620282
6194,RPS6,-0.011744317244781751
1676,DFFA,-0.0028624215575707205
23512,SUZ12,-0.008972704926328057
148022,TICAM1,-0.008595896559376143
1906,EDN1,-0.006060583270555302
8878,SQSTM1,-0.018286520801749064
3091,HIF1A,-0.008223659208030091
5743,PTGS2,0.01179255249354765
5321,PLA2G4A,0.0026077026765484873
4144,MAT2A,0.003504828575182607
1981,EIF4G1,0.011911119913169638
695,BTK,0.009641864764273258
10398,MYL9,-0.008816696574305493
5708,PSMD2,0.007922646963912946
1213,CLTC,-0.006122429127681492
226,ALDOA,0.0005343765270654304
6777,STAT5B,-0.009625487628002435
2113,ETS1,0.03231071666169176
3329,HSPD1,8.748650496417621e-05
1050,CEBPA,0.0015270989593276
9491,PSMF1,0.005902080433918441
22926,ATF6,0.020547953070966445
5899,RALB,-0.019502581387465266
5467,PPARD,0.010431929186006952
6774,STAT3,0.0017411838343639936
1788,DNMT3A,0.003966375116161563
5921,RASA1,0.026933955787155465
5721,PSME2,0.0001316621350656375
2263,FGFR2,-0.016059101033817084
808,CALM3,0.0034964963534472515
30001,ERO1A,0.02138450702686674
348,APOE,0.009098719930606994
30849,PIK3R4,0.013214081229427146
1454,CSNK1E,-0.015124380296490629
6500,SKP1,-0.00621192187538038
5627,PROS1,-0.036816233394926866
5715,PSMD9,-0.021801596587393106
4791,NFKB2,0.0021462170231318213
56924,PAK6,0.011080912487810691
2690,GHR,-0.0019390724899185383
1019,CDK4,0.020348734332124044
51422,PRKAG2,0.008854760762213774
5788,PTPRC,0.005966555266004294
6709,SPTAN1,-0.03508125199197236
1277,COL1A1,-0.0009126468368458132
993,CDC25A,0.026804675257494633
7157,TP53,-0.03491397834922144
1958,EGR1,-0.006741497778388326
4582,MUC1,-0.0018776533851302866
9212,AURKB,0.0071656633308966105
8440,NCK2,0.011541016414432594
6790,AURKA,0.013039311072068497
8851,CDK5R1,-0.0076037571177586544
2534,FYN,0.0026367188409371625
4893,NRAS,0.013627899687896853
665,BNIP3L,0.00937876144521333
4313,MMP2,0.003079753944420051
1022,CDK7,-0.007560277843315262
5880,RAC2,-0.0065225407924344786
3162,HMOX1,-0.03093757812800174
1282,COL4A1,0.029556099331396406
3383,ICAM1,-0.014518727225432574
727,C5,0.00997781153596032
4792,NFKBIA,0.012474651939858862
4794,NFKBIE,0.014021671904933943
902,CCNH,0.014609711325443659
8091,HMGA2,0.018271826203983873
3486,IGFBP3,0.055019288473717634
10818,FRS2,0.003764126568486178
3454,IFNAR1,-0.02603722527689607
4282,MIF,-0.00041743539940902144
1605,DAG1,-0.01640567755531071
10644,IGF2BP2,0.027789464619380193
2065,ERBB3,-0.0012243195852470557
8321,FZD1,-0.024723666735605852
8503,PIK3R3,-0.025589234625625953
7027,TFDP1,0.01274745629370513
6850,SYK,-0.006335865983049546
1978,EIF4EBP1,-0.003778347749059415
896,CCND3,0.005520531322878227
5777,PTPN6,-0.000846805567609527
1846,DUSP4,-0.00910173397881768
5925,RB1,0.007709954982942811
142,PARP1,-0.011212630169836119
1021,CDK6,0.012331083220412452
5699,PSMB10,0.004255131267675837
8061,FOSL1,-0.044121609541312765
1870,E2F2,-0.0028586505156629797
1398,CRK,0.009143702382381885
3312,HSPA8,-0.001449129476650888
891,CCNB1,-0.010994664532892749
4775,NFATC3,-0.0013497561635070676
5111,PCNA,0.024061637045530035
5696,PSMB8,0.0035428375702409366
5588,PRKCQ,-0.002408055865358558
6839,SUV39H1,-0.0029368880031991388
329,BIRC2,-0.014851237486784444
5058,PAK1,0.0008781028549527334
998,CDC42,0.02203707828249532
9134,CCNE2,0.004804498921616929
6616,SNAP25,0.007991920836831593
5223,PGAM1,0.02186130547178444
4690,NCK1,-0.013022938959934349
958,CD40,0.015173420262390935
1616,DAXX,-0.020238841133631582
991,CDC20,0.010251253439087766
6347,CCL2,-0.005575595011152837
6714,SRC,-0.01460040365618891
652,BMP4,0.005181269497570212
4331,MNAT1,0.013402645222110786
7099,TLR4,0.0022526085263747165
10320,IKZF1,-0.00429621687785432
2042,EPHA3,0.009095064743164663
843,CASP10,-0.008545328382781454
840,CASP7,-0.005430792042295394
7048,TGFBR2,-0.020598955481525433
4851,NOTCH1,-0.011638131966499574
6464,SHC1,0.004931559055735209
23410,SIRT3,0.008541510035916754
54205,CYCS,0.010881629399426468
2770,GNAI1,-0.012012571951218562
80204,FBXO11,-0.0010551760871263742
4208,MEF2C,0.009303660174989185
1845,DUSP3,0.022733310213514362
23368,PPP1R13B,0.005312336035223908
5583,PRKCH,-0.006320832661192097
8900,CCNA1,-0.005275597267213294
581,BAX,0.006396819623475468
6193,RPS5,0.00010895952800349558
6622,SNCA,-0.022967054134425773
11261,CHP1,0.002010682025800964
6696,SPP1,0.01092631491307447
8312,AXIN1,-0.0021146894714582937
835,CASP2,-0.003971017429200673
8324,FZD7,0.011736760296264545
1848,DUSP6,-0.006149498440817788
154,ADRB2,0.0035367904417616287
4312,MMP1,-0.002875699382505422
994,CDC25B,-0.01245944016705749
2048,EPHB2,0.02486616200482389
1111,CHEK1,-0.012306137076814806
5154,PDGFA,-0.0013223631988006938
2920,CXCL2,-0.02215037407283898
3122,HLA-DRA,-0.003765028927847787
2769,GNA15,0.018662547007611125
5900,RALGDS,-0.006674564810705904
6304,SATB1,0.0028211141182928343
5211,PFKL,0.012039205415625026
2886,GRB7,-0.005468178052515059
9261,MAPKAPK2,-0.019814636574519366
8569,MKNK1,-0.0027748273468027156
3303,HSPA1A,0.0072682031830570044
5331,PLCB3,0.003702185024396731
5347,PLK1,0.00672371325816513
4638,MYLK,0.010106239822046692
2264,FGFR4,0.020168129754285363
1029,CDKN2A,-0.004480779846719053
1027,CDKN1B,-0.007320570136369416
2597,GAPDH,-0.004361273902387611
55847,CISD1,-0.01933098551510017
25803,SPDEF,0.07596077462449302
3480,IGF1R,0.039484242480967505
2946,GSTM2,0.016340825037807784
9517,SPTLC2,0.003817078704584886
25987,TSKU,-0.00582289580142968
23670,TMEM2,-0.011113952113018069
11182,SLC2A6,0.013800181879202896
