,pr_gene_symbol,coefficient
5720,PSME1,-0.002132788305193337
466,ATF1,0.009617075581620402
6009,RHEB,-0.0004551332777190789
2309,FOXO3,-0.007234283932292598
387,RHOA,-0.006681145227605047
3553,IL1B,0.000396747638007223
427,ASAH1,0.00100318726754405
5898,RALA,0.0020923755731867295
23365,ARHGEF12,-0.0002708236422766877
6657,SOX2,0.005189663479936943
5054,SERPINE1,0.006823336379730412
3108,HLA-DMA,-0.006163738869634557
1950,EGF,-0.0019354159494060798
351,APP,0.005415480105539808
4846,NOS3,-0.00332191782647548
1452,CSNK1A1,-0.0015281760471899221
4776,NFATC4,-0.0009369953381958894
6908,TBP,-0.0008171092947114759
672,BRCA1,0.004709641408534675
5710,PSMD4,0.0002930426277763907
2115,ETV1,0.0009259710980178727
7015,TERT,-0.00037929427693148866
8726,EED,0.0025069836787699855
2185,PTK2B,0.001877293655048804
3315,HSPB1,-0.005042166781758406
5289,PIK3C3,-0.0034480203325819624
868,CBLB,0.0016184832205914212
1677,DFFB,-0.0015033920285392288
7043,TGFB3,0.002787781882464498
5613,PRKX,-0.0012285306725265063
595,CCND1,0.0077967381285433575
4793,NFKBIB,-0.0060296060111247485
2736,GLI2,-0.0020812937017247886
5290,PIK3CA,0.0037555194062778795
6194,RPS6,-0.004610886238461777
1676,DFFA,-0.002645532160159388
23512,SUZ12,-0.00046267025344894536
148022,TICAM1,-0.005010051761309025
1906,EDN1,0.002539084526681665
8878,SQSTM1,0.0029312501527931157
3091,HIF1A,-0.0007706473882678256
5743,PTGS2,0.0025780338301811105
5321,PLA2G4A,0.0031586870512011673
4144,MAT2A,0.022634969810609737
1981,EIF4G1,0.0010595332510942275
695,BTK,0.000249916709795451
10398,MYL9,0.0001590035625120485
5708,PSMD2,0.002708989211020163
1213,CLTC,0.007186796676941878
226,ALDOA,0.004372703873293326
6777,STAT5B,0.0016195310002022178
2113,ETS1,-0.0001381081805771551
3329,HSPD1,-0.001802122807538716
1050,CEBPA,-0.0014841573421545042
9491,PSMF1,0.004250385147020966
22926,ATF6,0.00345268519369343
5899,RALB,0.0005823040083685014
5467,PPARD,0.00013937425559630722
6774,STAT3,-0.0019434116749409247
1788,DNMT3A,0.005136330791058387
5921,RASA1,0.002988321087460583
5721,PSME2,0.0009773355399168894
2263,FGFR2,0.0040962532601729485
808,CALM3,0.0010964900853517694
30001,ERO1A,0.00019154229902070124
348,APOE,0.0010107156785111526
30849,PIK3R4,0.0007782812996505197
1454,CSNK1E,-0.0023229592158291244
6500,SKP1,-0.003132221874054219
5627,PROS1,-0.0008397334285537741
5715,PSMD9,-0.006044835076427764
4791,NFKB2,0.002361618992834006
56924,PAK6,-0.001090275898599032
2690,GHR,-0.0018526765518308683
1019,CDK4,0.002823041108910586
51422,PRKAG2,0.0051929391405248
5788,PTPRC,-0.0006302400689077013
6709,SPTAN1,0.004832358795648372
1277,COL1A1,0.0012295678751480653
993,CDC25A,-0.0008957063903602033
7157,TP53,0.007416370013078541
1958,EGR1,-0.003260862892265447
4582,MUC1,-0.0004298315290001642
9212,AURKB,-0.0074573072830363555
8440,NCK2,0.0007017197166572557
6790,AURKA,-0.014790540241884703
8851,CDK5R1,0.0014299963040741977
2534,FYN,-0.005467999210118282
4893,NRAS,0.008321578982591872
665,BNIP3L,0.002547075846667746
4313,MMP2,0.0028855248156375484
1022,CDK7,-0.005964577464925492
5880,RAC2,0.0016169028110237442
3162,HMOX1,-0.004400109891879167
1282,COL4A1,-0.000130466007894621
3383,ICAM1,-0.0003249951491207304
727,C5,0.0001391204947954873
4792,NFKBIA,-0.0014402213227504312
4794,NFKBIE,-0.0023315685700986384
902,CCNH,0.003747698006749646
8091,HMGA2,0.007045856750587967
3486,IGFBP3,-0.00012400703287673433
10818,FRS2,0.008144408366628718
3454,IFNAR1,0.0020500533572681843
4282,MIF,0.00679871617668999
1605,DAG1,0.007916768478337865
10644,IGF2BP2,-0.0072258886786963185
2065,ERBB3,0.0022019471243134507
8321,FZD1,-0.012049476272536356
8503,PIK3R3,0.003990606543862966
7027,TFDP1,-0.0006509109596033885
6850,SYK,-0.008145817536552531
1978,EIF4EBP1,0.007212411133118651
896,CCND3,0.0005869230836235352
5777,PTPN6,-0.0005215024791252062
1846,DUSP4,-0.00648134362030887
5925,RB1,-0.0058130090164718795
142,PARP1,-0.002264682171441813
1021,CDK6,0.0016971403465341846
